address;mail;title
7 RUE SAINT LAMBERT 75015 PARIS ;coutherut@cfa-btp.org;Centre de Formation d'apprentis ST LAMBERT-MACONNERIE
54 BIS RUE DOMBASLE 75015 PARIS ;s.villoutreys@supdesrh.com;Centre de Formation d'apprentis RESSOURCES HUMAINES
192 RUE LECOURBE 75015 PARIS ;alain.nicolas@difcam.com;Centre de Formation d'apprentis DIFCAM BANQUES ET ASSURANCES
74 BIS RUE LAURISTON 75016 PARIS ;cfa@espacelauriston.fr;Centre de Formation d'apprentis DANSE CHANT COMEDIE (SIEGE)
163 RUE DE SEVRES 75015 PARIS ;fouzia.mis@aepo-optique.com;Centre de Formation d'apprentis OPTIQUE
60 AVENUE DE NEW YORK 75016 PARIS ;eroisinrogie@infa-formation.co;Centre de Formation d'apprentis METIERS DU TOURISME
319 RUE LECOURBE 75015 PARIS ;;Section d'enseignement professionnel LPO LOUIS ARMAND
20 RUE BOURSEUL 75015 PARIS ;;Section d'enseignement professionnel LPO LEONARD DE VINCI
39 AVENUE EMILE ZOLA 75015 PARIS ;ce.0752191Z@ac-paris.fr;Section d'enseignement général et professionnel adapté COLLEGE GUILLAUME APOLLINAIRE
31 BOULEVARD PASTEUR 75015 PARIS ;;Section d'enseignement professionnel LPO FRESNEL
15 RUE SAINT LAMBERT 75015 PARIS ;ce.0750697A@ac-paris.fr;Lycée technologique BATIMENT-SAINT-LAMBERT
63 RUE OLIVIER DE SERRES 75015 PARIS ;ce.0750612H@ac-paris.fr;Lycée technologique EC NAT SUP DES ARTS APPLIQUES
31 BOULEVARD PASTEUR 75015 PARIS ;ce.0750695Y@ac-paris.fr;Lycée polyvalent lycée des métiers FRESNEL
20 RUE BOURSEUL 75015 PARIS ;ce.0754475G@ac-paris.fr;Lycée polyvalent lycée des métiers LEONARD DE VINCI
319 RUE LECOURBE 75015 PARIS ;ce.0751708Z@ac-paris.fr;Lycée polyvalent LOUIS ARMAND
9 RUE OCTAVE FEUILLET 75016 PARIS ;ce.0750796H@ac-paris.fr;Lycée professionnel lycée des métiers OCTAVE FEUILLET
8 RUE QUINAULT 75015 PARIS ;ce.0750794F@ac-paris.fr;Lycée professionnel lycée des métiers BRASSAI
185 AVENUE DE VERSAILLES 75016 PARIS ;ce.0750588G@ac-paris.fr;Lycée professionnel RENE CASSIN
11 BIS RUE D AUTEUIL 75016 PARIS ;ce.0750700D@ac-paris.fr;Lycée général et technologique JEAN-BAPTISTE SAY
1 AVENUE DU PARC DES PRINCES 75016 PARIS ;ce.0750698B@ac-paris.fr;Lycée général et technologique CLAUDE BERNARD
1 RUE DU GENERAL CAMOU 75007 PARIS ;ce.0752961L@ac-paris.fr;Lycée professionnel GUSTAVE EIFFEL
5 RUE CORBON 75015 PARIS ;ce.0750436S@ac-paris.fr;Lycée professionnel CLAUDE ANTHIME CORBON
62 RUE SAINT CHARLES 75015 PARIS ;ce.0750793E@ac-paris.fr;Lycée professionnel BEAUGRENELLE
24 RUE FONDARY 75015 PARIS ;ce.0750696Z@ac-paris.fr;Lycée général et technologique ROGER VERLOMME
33 BOULEVARD DES INVALIDES 75007 PARIS ;ce.0750662M@ac-paris.fr;Lycée général VICTOR DURUY
71 RUE DU RANELAGH 75016 PARIS ;ce.0750703G@ac-paris.fr;Lycée général MOLIERE
1  PL DE LA PORTE MOLITOR 75016 PARIS ;ce.0750702F@ac-paris.fr;Lycée général JEAN DE LA FONTAINE
106  RUE DE LA POMPE 75016 PARIS ;ce.0750699C@ac-paris.fr;Lycée général JANSON DE SAILLY
11 RUE LEON LHERMITTE 75015 PARIS ;ce.0750694X@ac-paris.fr;Lycée général CAMILLE SEE
16 BOULEVARD PASTEUR 75015 PARIS ;ce.0750693W@ac-paris.fr;Lycée général BUFFON
393 RUE DE VAUGIRARD 75015 PARIS ;ce.0754401B@ac-paris.fr;Établissement expérimental LYCEE AUTOGERE
10 RUE DU DOCTEUR BLANCHE 75016 PARIS ;ce.0750701E@ac-paris.fr;Lycée d'Etat J. ZAY INTERNAT DE LA REUSSITE
29 BIS RUE DE CRONSTADT 75015 PARIS ;ce.0753256G@ac-paris.fr;Établissement régional d'enseignement adapté ALEXANDRE DUMAS
33 BOULEVARD DES INVALIDES 75007 PARIS ;ce.0752528R@ac-paris.fr;Collège d'enseignement général VICTOR DURUY
71  RUE DU RANELAGH 75016 PARIS ;ce.0752551R@ac-paris.fr;Collège d'enseignement général MOLIERE
1 RUE DE CHERBOURG 75015 PARIS ;ce.0752318M@ac-paris.fr;Collège d'enseignement général MODIGLIANI
6  RUE CLER 75007 PARIS ;ce.0752249M@ac-paris.fr;Collège d'enseignement général JULES ROMAINS
11 BIS RUE D AUTEUIL 75016 PARIS ;ce.0752549N@ac-paris.fr;Collège d'enseignement général JEAN-BAPTISTE SAY
1 PLACE DE LA PORTE MOLITOR 75016 PARIS ;ce.0752550P@ac-paris.fr;Collège d'enseignement général JEAN DE LA FONTAINE
106  RUE DE LA POMPE 75016 PARIS ;ce.0752548M@ac-paris.fr;Collège d'enseignement général JANSON DE SAILLY
13 RUE EUGENE DELACROIX 75016 PARIS ;ce.0752194C@ac-paris.fr;Collège d'enseignement général J. DE SAILLY Site E. DELACROIX
39 AVENUE EMILE ZOLA 75015 PARIS ;ce.0752190Y@ac-paris.fr;Collège d'enseignement général GUILLAUME APOLLINAIRE
13 RUE DES VOLONTAIRES 75015 PARIS ;ce.0752192A@ac-paris.fr;Collège d'enseignement général GEORGES DUHAMEL
14 RUE DE STAEL 75015 PARIS ;ce.0751563S@ac-paris.fr;Collège d'enseignement général DE STAEL
4 PLACE DU COMMERCE 75015 PARIS ;ce.0752317L@ac-paris.fr;Collège d'enseignement général CLAUDE DEBUSSY
1  AV DU PARC DES PRINCES 75016 PARIS ;ce.0752547L@ac-paris.fr;Collège d'enseignement général CLAUDE BERNARD
121 BOULEVARD RASPAIL 75006 PARIS ;ce.0754916L@ac-paris.fr;Section d'enseignement professionnel privé LPO PRIVE CARCADO SAISSEVAL
11 RUE LEON LHERMITTE 75015 PARIS ;ce.0752546K@ac-paris.fr;Collège d'enseignement général CAMILLE SEE
16 BOULEVARD PASTEUR 75015 PARIS ;ce.0750693w@ac-paris.fr;Collège d'enseignement général BUFFON
208 RUE SAINT CHARLES 75015 PARIS ;ce.0754305X@ac-paris.fr;Collège d'enseignement général ANDRE CITROEN
29 RUE GASSENDI 75014 PARIS ;ce.0754920R@ac-paris.fr;Section d'enseignement professionnel privé LPO PRIVE CATHERINE LABOURE
93 RUE DU DESSOUS DES BERGES 75013 PARIS ;ce.0750330B@ac-paris.fr;Lycée technologique privé EC TECHNIQUE SUP LABORATOIRE
92 RUE DE VAUGIRARD 75006 PARIS ;ce.0754025T@ac-paris.fr;Lycée polyvalent lycée des métiers privé SAINT-NICOLAS
44 BOULEVARD AUGUSTE BLANQUI 75013 PARIS ;ce.0754042L@ac-paris.fr;Lycée polyvalent lycée des métiers privé LE REBOURS
121 BOULEVARD RASPAIL 75006 PARIS ;ce.0754029X@ac-paris.fr;Lycée polyvalent lycée des métiers privé CARCADO SAISSEVAL
49 RUE BOBILLOT 75013 PARIS ;ce.0754924V@ac-paris.fr;Lycée polyvalent privé NOTRE-DAME -ST VINCENT DE PAUL
29 RUE GASSENDI 75014 PARIS ;ce.0754045P@ac-paris.fr;Lycée polyvalent privé CATHERINE LABOURE
64 RUE D ASSAS 75006 PARIS ;ce.0753844W@ac-paris.fr;Lycée général et technologique privé SAINTE-GENEVIEVE
61 RUE NOTRE DAME DES CHAMPS 75006 PARIS ;ce.0753842U@ac-paris.fr;Lycée général et technologique privé NOTRE-DAME DE SION
29 AVENUE LEON BOLLEE 75013 PARIS ;ce.0753834K@ac-paris.fr;Lycée général privé YABNE
22 RUE NOTRE DAME DES CHAMPS 75006 PARIS ;ce.0753840S@ac-paris.fr;Lycée général privé STANISLAS
28 RUE PIERRE NICOLE 75005 PARIS ;ce.0753598D@ac-paris.fr;Lycée général privé SEVIGNE
68 RUE D ASSAS 75006 PARIS ;ce.0753838P@ac-paris.fr;Lycée général privé SAINT-SULPICE
63 RUE DE LA SANTE 75013 PARIS ;ce.0753902J@ac-paris.fr;Lycée général privé NOTRE-DAME DE FRANCE
32 RUE GEOFFROY SAINT HILAIRE 75005 PARIS ;ce.0753827C@ac-paris.fr;Lycée général privé LOUISE DE MARILLAC
109 RUE NOTRE DAME DES CHAMPS 75006 PARIS ;ce.0753647G@ac-paris.fr;Lycée général privé ECOLE ALSACIENNE
5 RUE EMILE DUBOIS 75014 PARIS ;admsa14@hotmail.fr;École technologique privée ALFRED DE MUSSET
28 RUE DE L ABBE GREGOIRE 75006 PARIS ;ce.0754129F@ac-paris.fr;École du 2nd degré professionnel privée CCIP ECOLES GREGOIRE-FERRANDI
167 RUE VERCINGETORIX 75014 PARIS ;;École technologique privée 167 RUE VERCINGETORIX
38 RUE POLIVEAU 75005 PARIS ;;École secondaire privée ECOLE DU CERENE
17 RUE DE DOMREMY 75013 PARIS ;;École secondaire privée COLLEGE MERKAZ BETH MYRIAM
3 RUE DE L EURE 75014 PARIS ;cours.saintjohnperse@free.fr;École du 2nd degré général privée SAINT-JOHN PERSE
1 RUE DUPIN 75006 PARIS ;coursmontaigne.paris@wanadoo.f;École du 2nd degré général privée MONTAIGNE
24 RUE CHARCOT 75013 PARIS ;egsh@club-internet.com;École du 2nd degré général privée GEOFFROY SAINT-HILAIRE
21 RUE DU VAL DE GRACE 75005 PARIS ;;École du 2nd degré général privée COURS DIAGONALE
32 RUE GEOFFROY SAINT HILAIRE 75005 PARIS ;ce.0753967E@ac-paris.fr;Collège d'enseignement général privé SOEUR ROSALIE
5 RUE DE LA SANTE 75013 PARIS ;administration@coursprivecolbe;École du 2nd degré général privée COLBERT
34  RUE DE LA CLEF 75005 PARIS ;ce.0753829E@ac-paris.fr;École du 2nd degré général privée CLAUDE BERNARD
29 AVENUE LEON BOLLEE 75013 PARIS ;ce.0752906B@ac-paris.fr;Collège d'enseignement général privé YABNE
22 RUE NOTRE DAME DES CHAMPS 75006 PARIS ;ce.0752900V@ac-paris.fr;Collège d'enseignement général privé STANISLAS
28 RUE PIERRE NICOLE 75005 PARIS ;ce.0752913J@ac-paris.fr;Collège d'enseignement général privé SEVIGNE
49 RUE BOBILLOT 75013 PARIS ;ce.0753985Z@ac-paris.fr;Collège d'enseignement général privé SAINTE-MARIE
64 RUE D ASSAS 75006 PARIS ;ce.0752925X@ac-paris.fr;Collège d'enseignement général privé SAINTE-GENEVIEVE
68 RUE D ASSAS 75006 PARIS ;ce.0752924W@ac-paris.fr;Collège d'enseignement général privé SAINT-SULPICE
92 RUE DE VAUGIRARD 75006 PARIS ;ce.0754008Z@ac-paris.fr;Collège d'enseignement général privé SAINT-LOUIS
61 RUE NOTRE DAME DES CHAMPS 75006 PARIS ;ce.0754757N@ac-paris.fr;Collège d'enseignement général privé NOTRE-DAME DE SION
20 RUE DE DOMREMY 75013 PARIS ;ce.0753982W@ac-paris.fr;Collège d'enseignement général privé NOTRE-DAME DE LA GARE
63 RUE DE LA SANTE 75013 PARIS ;ce.0752896R@ac-paris.fr;Collège d'enseignement général privé NOTRE-DAME DE FRANCE
66 RUE DE L ABBE CARTON 75014 PARIS ;ce.0753908R@ac-paris.fr;Collège d'enseignement général privé LA BRUYERE-SAINTE-ISABELLE
109 RUE NOTRE DAME DES CHAMPS 75006 PARIS ;ce.0752874S@ac-paris.fr;Collège d'enseignement général privé ECOLE ALSACIENNE
4 PLACE JUSSIEU 75005 PARIS ;cfa@upmc.fr;Centre de Formation d'apprentis UPMC
66 RUE D ASSAS 75006 PARIS ;secretariat@cfaunivsport.com;Centre de Formation d'apprentis UNIVERSITE ET SPORTS
12 RUE RUBENS 75013 PARIS ;secretariat@afomav.fr;Centre de Formation d'apprentis PROJECTION PHOTO
19 RUE FRIANT 75014 PARIS ;formap@wanadoo.fr;Centre de Formation d'apprentis MIROITERIE
9 RUE VESAL 75005 PARIS ;avialard@cfa-ite.fr;Centre de Formation d'apprentis ITE
17 RUE LINNE 75005 PARIS ;b.marrone@insta.fr;Centre de Formation d'apprentis INSTA
4 RUE BLAISE DESGOFFE 75006 PARIS ;dudezertjp@formasup-paris.com;Centre de Formation d'apprentis FORMASUP PARIS-RECTORAT PARIS
28 RUE NOTRE DAME DES CHAMPS 75006 PARIS ;soubeyrand@isep.fr;Centre de Formation d'apprentis INST SUP ELECTRONIQUE DE PARIS
44 RUE D ALESIA 75014 PARIS ;hayot.ifria@gmail.com;Centre de Formation d'apprentis INDUSTRIES AGRO-ALIMENT D'IDF
11 RUE PIRANDELLO 75013 PARIS ;mcernesty@cci-paris-idf.fr;Centre de Formation d'apprentis ID2F-ILE DE FRANCE FORMATION
28 RUE DE L ABBE GREGOIRE 75006 PARIS ;mcernesty@cci-paris-idf.fr;Centre de Formation d'apprentis FERRANDI PARIS
21 RUE CHARLES FOURRIER 75013 PARIS ;aida.diab@asfored.org;Centre de Formation d'apprentis EDITION
237 BOULEVARD RASPAIL 75014 PARIS ;;Section d'enseignement professionnel LPO TIREL
5 BIS AVENUE MAURICE D OCAGNE 75014 PARIS ;;Section d'enseignement professionnel LPO RASPAIL
5 RUE MADAME 75006 PARIS ;;Section d'enseignement professionnel LPO MAXIMILIEN VOX
4 RUE DES FEUILLANTINES 75005 PARIS ;;Section d'enseignement professionnel LPO LUCAS DE NEHOU
73 BOULEVARD SAINT MARCEL 75013 PARIS ;mcernesty@cci-paris-idf.fr;Centre de Formation d'apprentis CCIP GOBELINS ECOLE DE L IMAGE
2 RUE LACAZE 75014 PARIS ;e.pol@cerfal.fr;Centre de Formation d'apprentis CERFAL
121 RUE DE PATAY 75013 PARIS ;;Section d'enseignement professionnel LPO JEAN LURCAT
7 RUE DU CANGE 75014 PARIS ;ce.0754483R@ac-paris.fr;Section d'enseignement général et professionnel adapté COLLEGE GIACOMETTI
9 RUE YEO THOMAS 75013 PARIS ;ce.0752386L@ac-paris.fr;Section d'enseignement général et professionnel adapté COLLEGE ELSA TRIOLET
2 RUE DU PONT DE LODI 75006 PARIS ;ce.0754482P@ac-paris.fr;Section d'enseignement général et professionnel adapté COLLEGE JACQUES PREVERT
9 BOULEVARD DE COURCELLES 75008 PARIS ;ce.0754037F@ac-paris.fr;Lycée technologique privé LA PLAINE MONCEAU
18 BOULEVARD AUGUSTE BLANQUI 75013 PARIS ;ce.0750686N@ac-paris.fr;Lycée technologique ESTIENNE ESAIG
31 RUE CAULAINCOURT 75018 PARIS ;ce.0754239A@ac-paris.fr;Lycée professionnel privé SAINT-JEAN DE MONTMARTRE
15 RUE DES FILLETTES 75018 PARIS ;ce.0754165V@ac-paris.fr;Lycée professionnel privé COIFFURE
2-6 RUE EMILE BOREL 75017 PARIS ;ce.0755537l@ac-apris.fr;Lycée général et technologique privé GASTON TENOUDJI
68 RUE DE LA CHAUSSEE D ANTIN 75009 PARIS ;ce.0753825A@ac-paris.fr;Lycée privé pour handicapés MORVAN
5 RUE DE LA MADONE 75018 PARIS ;ce.0754086J@ac-paris.fr;Lycée général et technologique privé CHARLES DE FOUCAULD
25 RUE DAUBIGNY 75017 PARIS ;ce.0754081D@ac-paris.fr;Lycée général privé STE URSULE-LOUISE BETTIGNIES
6 IMPASSE DES DEUX COUSINS 75017 PARIS ;iris@groupeipf.com;École technologique privée INST RESSOURCES INFO SUP
2 RUE TRISTAN TZARA 75018 PARIS ;ce.0753231E@ac-paris.fr;Lycée général privé SINAI
35 AVENUE DE SAINT OUEN 75017 PARIS ;ce.0753959W@ac-paris.fr;Lycée général privé SAINT-MICHEL DES BATIGNOLLES
24 RUE DU GENERAL FOY 75008 PARIS ;ce.0753873C@ac-paris.fr;Lycée général privé FENELON SAINTE-MARIE
9 RUE VILLARET DE JOYEUSE 75017 PARIS ;ce.0752937K@ac-paris.fr;Lycée général privé ECOLE  INTERNATIONAL BILINGUE
34 AVENUE DES CHAMPS ELYSEES 75008 PARIS ;direction@eurecole.com;École secondaire privée EURECOLE
11 BIS RUE DE MILAN 75009 PARIS ;;École technologique privée HAUTES ETUDES COMMERCIALES
113 RUE DU FG POISSONNIERE 75009 PARIS ;ce.0751593Z@ac-paris.fr;École du 2nd degré professionnel privée SAINT-LOUIS UNION ACADEMIE
6 RUE PAUL BAUDRY 75008 PARIS ;ecoleregineferrere@wanadoo.fr;École du 2nd degré professionnel privée R.FERRERE ESTHETIQ-COSMETIQUE
27 RUE MARBEUF 75008 PARIS ;ce.0754242D@ac-paris.fr;École du 2nd degré professionnel privée MARBEUF ESTHETIQUE ELYSEES
28 RUE DE TREVISE 75009 PARIS ;ecoleisec@free.fr;École du 2nd degré professionnel privée INSTITUT EUROPEEN DE COIFFURE
52 RUE LAFFITTE 75009 PARIS ;catherine.roland@academie-gmc.;École du 2nd degré professionnel privée GUINOT MARY COHR ACADEMIE
27 RUE VERNET 75008 PARIS ;ce.0752124B@ac-paris.fr;École du 2nd degré professionnel privée F.MORICE ESTHETIQUE-COSMETIQUE
24 RUE D AUMALE 75009 PARIS ;;École du 2nd degré professionnel privée COURS PRIVE HATTEMER
63 RUE AMPERE 75017 PARIS ;ce.0753082T@ac-paris.fr;École du 2nd degré professionnel privée ETS - IRIS
15 RUE DES FILLETTES 75018 PARIS ;ce.0754168Y@ac-paris.fr;École du 2nd degré professionnel privée CTRE MARCEL LAMY COIFFURE-ESTH
64 BIS RUE TAITBOUT 75009 PARIS ;ce.0752382G@ac-paris.fr;École générale et technologique privée COURS PRIVE CLAPEYRON
37 RUE DES MARTYRS 75009 PARIS ;coursverlaine@noos.fr;École du 2nd degré général privée VERLAINE
14 RUE CAVALLOTTI 75018 PARIS ;saintjohnperse@free.fr;École du 2nd degré général privée SAINT-JOHN PERSE
52 RUE DE LONDRES 75008 PARIS ;courriel@hattemer.fr;École du 2nd degré général privée HATTEMER
98 RUE PIERRE DEMOURS 75017 PARIS ;ce.0754083F@ac-paris.fr;École du 2nd degré général privée CARNOT
2 RUE TRISTAN TZARA 75018 PARIS ;ce.0753206C@ac-paris.fr;Collège d'enseignement général privé SINAI
8 RUE CHAMPIONNET 75018 PARIS ;ce.0753381T@ac-paris.fr;Collège d'enseignement général privé SAINT-VINCENT
102 BOULEVARD PEREIRE 75017 PARIS ;ce.0752898T@ac-paris.fr;Collège d'enseignement général privé STE URSULE-LOUISE BETTIGNIES
